epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,377.499,1.16762,0.59281,0.91892,0.90582,0.91605,0.94249,0.62657,1.11839,0.59565,0.91228,0.0011684,0.0011684,0.0011684
44,385.171,1.13883,0.58392,0.91299,0.90885,0.9124,0.94465,0.63146,1.1189,0.58201,0.91579,0.0011486,0.0011486,0.0011486
45,393.109,1.14852,0.58243,0.91208,0.9033,0.92411,0.94823,0.63221,1.13322,0.58358,0.91447,0.0011288,0.0011288,0.0011288
46,401.106,1.14725,0.57958,0.91243,0.91026,0.92031,0.94647,0.63921,1.10072,0.57294,0.90832,0.001109,0.001109,0.001109
47,408.726,1.14755,0.57817,0.91178,0.90864,0.92358,0.94629,0.64024,1.10053,0.57038,0.90901,0.0010892,0.0010892,0.0010892
48,416.371,1.16351,0.5852,0.91476,0.90386,0.91935,0.94006,0.62496,1.11789,0.58867,0.91227,0.0010694,0.0010694,0.0010694
49,424.226,1.14995,0.57355,0.9096,0.90668,0.92168,0.94184,0.63465,1.10741,0.56119,0.91103,0.0010496,0.0010496,0.0010496
50,431.768,1.15579,0.56966,0.90826,0.91016,0.92208,0.94508,0.64265,1.09567,0.56976,0.90699,0.0010298,0.0010298,0.0010298
51,439.988,1.14633,0.57188,0.91133,0.91076,0.92426,0.94947,0.64563,1.0949,0.56114,0.90583,0.00101,0.00101,0.00101
52,447.775,1.13509,0.56657,0.91209,0.90851,0.91765,0.94536,0.64012,1.09517,0.56446,0.90793,0.0009902,0.0009902,0.0009902
53,455.576,1.12835,0.56241,0.9047,0.9167,0.92297,0.94878,0.64115,1.09574,0.55658,0.90739,0.0009704,0.0009704,0.0009704
54,463.275,1.13464,0.56871,0.90978,0.91548,0.91832,0.94218,0.63644,1.09065,0.56173,0.9063,0.0009506,0.0009506,0.0009506
55,470.82,1.12446,0.55733,0.90322,0.91122,0.92717,0.94505,0.63641,1.10029,0.55559,0.90822,0.0009308,0.0009308,0.0009308
56,478.272,1.11664,0.55305,0.90723,0.91338,0.92287,0.94441,0.63403,1.1104,0.55882,0.91046,0.000911,0.000911,0.000911
57,486.173,1.11825,0.55633,0.90719,0.91384,0.92153,0.94783,0.64043,1.1049,0.55615,0.90629,0.0008912,0.0008912,0.0008912
58,493.967,1.13528,0.56278,0.90636,0.91204,0.92442,0.94268,0.64014,1.09218,0.55657,0.90802,0.0008714,0.0008714,0.0008714
59,501.813,1.14614,0.56002,0.9074,0.91407,0.92449,0.94489,0.64305,1.09156,0.55306,0.90555,0.0008516,0.0008516,0.0008516
60,509.682,1.13214,0.56084,0.90655,0.9164,0.92077,0.95237,0.64816,1.0952,0.56238,0.90424,0.0008318,0.0008318,0.0008318
61,517.307,1.14666,0.55957,0.90783,0.91157,0.91785,0.94706,0.62001,1.16388,0.57265,0.91992,0.000812,0.000812,0.000812
62,525.116,1.1331,0.55365,0.90798,0.91097,0.92899,0.94712,0.64579,1.09593,0.55023,0.90761,0.0007922,0.0007922,0.0007922
63,532.801,1.11537,0.55401,0.90158,0.91135,0.92708,0.94665,0.64171,1.08519,0.55891,0.90433,0.0007724,0.0007724,0.0007724
64,540.458,1.11767,0.55624,0.90629,0.90479,0.92442,0.94244,0.63703,1.09974,0.56431,0.90877,0.0007526,0.0007526,0.0007526
65,548.014,1.10743,0.55348,0.90466,0.91104,0.92824,0.94906,0.64014,1.09856,0.55923,0.90663,0.0007328,0.0007328,0.0007328
66,555.889,1.11544,0.55742,0.90433,0.90965,0.93013,0.94801,0.64421,1.08896,0.5489,0.90552,0.000713,0.000713,0.000713
67,563.558,1.10545,0.54524,0.89866,0.91172,0.92875,0.94863,0.64841,1.08642,0.53886,0.90433,0.0006932,0.0006932,0.0006932
68,571.268,1.11361,0.55044,0.90148,0.91785,0.92865,0.95741,0.65256,1.08867,0.53995,0.90478,0.0006734,0.0006734,0.0006734
69,578.932,1.10018,0.53698,0.89832,0.91708,0.9235,0.95226,0.64155,1.10919,0.55043,0.91057,0.0006536,0.0006536,0.0006536
70,586.876,1.11082,0.54907,0.90703,0.91704,0.92711,0.95571,0.65423,1.08391,0.54415,0.90528,0.0006338,0.0006338,0.0006338
71,594.456,1.12213,0.55088,0.90294,0.91159,0.92647,0.95593,0.65169,1.08863,0.54401,0.90702,0.000614,0.000614,0.000614
72,602.222,1.09864,0.54475,0.89906,0.91962,0.92385,0.96149,0.65626,1.07681,0.53557,0.90249,0.0005942,0.0005942,0.0005942
73,609.992,1.09326,0.54018,0.89696,0.92602,0.92601,0.9634,0.66277,1.0711,0.53393,0.90055,0.0005744,0.0005744,0.0005744
74,617.795,1.10317,0.53851,0.90083,0.91696,0.92624,0.95217,0.65087,1.07689,0.53693,0.90244,0.0005546,0.0005546,0.0005546
75,625.456,1.09259,0.53316,0.8965,0.91703,0.93126,0.95782,0.65639,1.07903,0.53378,0.90261,0.0005348,0.0005348,0.0005348
76,633.273,1.1089,0.54111,0.90125,0.9178,0.92454,0.9551,0.65178,1.09635,0.54528,0.90652,0.000515,0.000515,0.000515
77,641.143,1.09577,0.53918,0.89923,0.91477,0.93116,0.95824,0.65295,1.07579,0.53819,0.90152,0.0004952,0.0004952,0.0004952
78,648.798,1.09574,0.5357,0.89438,0.92228,0.92579,0.96262,0.65915,1.08229,0.53392,0.90118,0.0004754,0.0004754,0.0004754
79,656.497,1.09834,0.53141,0.89645,0.92207,0.92933,0.95911,0.65595,1.07806,0.53555,0.90172,0.0004556,0.0004556,0.0004556
80,664.323,1.08643,0.52259,0.89345,0.9182,0.92863,0.95672,0.65548,1.07849,0.53577,0.90345,0.0004358,0.0004358,0.0004358
81,672.037,1.09834,0.53166,0.89598,0.92154,0.92165,0.96124,0.66049,1.07615,0.53138,0.90134,0.000416,0.000416,0.000416
82,679.874,1.09166,0.52516,0.89688,0.91914,0.92484,0.95666,0.65528,1.08463,0.53478,0.90469,0.0003962,0.0003962,0.0003962
83,687.641,1.08836,0.52679,0.89914,0.92576,0.92733,0.96158,0.66213,1.06535,0.52289,0.89998,0.0003764,0.0003764,0.0003764
84,695.317,1.08713,0.52398,0.89402,0.92657,0.92609,0.96271,0.66356,1.06954,0.52246,0.89917,0.0003566,0.0003566,0.0003566
85,703.174,1.08483,0.52219,0.89457,0.92599,0.92639,0.96173,0.66133,1.07058,0.52577,0.90035,0.0003368,0.0003368,0.0003368
86,710.981,1.08476,0.51968,0.89399,0.92883,0.92883,0.96326,0.66119,1.07594,0.52418,0.90075,0.000317,0.000317,0.000317
87,718.993,1.0829,0.52257,0.89578,0.91734,0.93336,0.95275,0.65077,1.08134,0.52986,0.901,0.0002972,0.0002972,0.0002972
88,726.591,1.08282,0.51794,0.89266,0.9179,0.93316,0.95353,0.65536,1.07653,0.52632,0.90359,0.0002774,0.0002774,0.0002774
89,734.755,1.07842,0.51879,0.8959,0.91608,0.93376,0.95252,0.65885,1.06637,0.52265,0.9005,0.0002576,0.0002576,0.0002576
90,742.159,1.07869,0.51813,0.89299,0.92094,0.93202,0.96039,0.66484,1.0653,0.51998,0.89891,0.0002378,0.0002378,0.0002378
91,755.894,1.05782,0.52382,0.89851,0.90834,0.93441,0.95353,0.6558,1.07386,0.53293,0.90327,0.000218,0.000218,0.000218
92,763.97,1.05722,0.51403,0.90074,0.92605,0.92571,0.96235,0.65876,1.08154,0.52947,0.90244,0.0001982,0.0001982,0.0001982
93,771.804,1.04935,0.50607,0.89681,0.93154,0.93073,0.96473,0.66352,1.07041,0.51769,0.90093,0.0001784,0.0001784,0.0001784
94,780.012,1.04401,0.50242,0.89409,0.92775,0.93046,0.96343,0.66265,1.0739,0.51978,0.90347,0.0001586,0.0001586,0.0001586
95,787.307,1.04551,0.50772,0.89541,0.92434,0.9308,0.96376,0.66144,1.07495,0.52009,0.90264,0.0001388,0.0001388,0.0001388
96,794.872,1.04368,0.49885,0.89893,0.93326,0.93065,0.96505,0.66416,1.07246,0.51411,0.90099,0.000119,0.000119,0.000119
97,802.501,1.03732,0.49283,0.89291,0.93058,0.93065,0.96524,0.66671,1.06479,0.51012,0.90041,9.92e-05,9.92e-05,9.92e-05
98,810.224,1.03944,0.49816,0.8946,0.93592,0.93069,0.96581,0.66504,1.06849,0.51063,0.90052,7.94e-05,7.94e-05,7.94e-05
99,817.821,1.03506,0.49275,0.89659,0.93517,0.93015,0.96564,0.66451,1.07066,0.50976,0.90123,5.96e-05,5.96e-05,5.96e-05
100,825.242,1.03996,0.49409,0.89449,0.93491,0.93065,0.96573,0.66693,1.06495,0.50828,0.90019,3.98e-05,3.98e-05,3.98e-05
